time/s	I/mA	Ewe/V
2.920261959255565E+004	-1.4031293E-003	2.6005273E+000
2.921761959237405E+004	-1.4224807E-003	2.6006992E+000
2.923261959219244E+004	-1.4420229E-003	2.6006992E+000
2.924761959201083E+004	-1.4253452E-003	2.6006610E+000
2.926261959182922E+004	-1.4165606E-003	2.6005845E+000
2.927761959164761E+004	-1.4391585E-003	2.6008136E+000
2.929261959146601E+004	-1.4369943E-003	2.6006801E+000
2.930761959128440E+004	-1.4185975E-003	2.6006610E+000
2.932261959110279E+004	-1.4257270E-003	2.6006420E+000
2.933761959092118E+004	-1.4298011E-003	2.6006420E+000
2.935261959073957E+004	-1.4343206E-003	2.6005845E+000
2.936761959055797E+004	-1.4207619E-003	2.6007183E+000
2.938261959037636E+004	-1.4497889E-003	2.6006992E+000
2.939761959019475E+004	-1.4187887E-003	2.6006801E+000
2.941261959001314E+004	-1.4238810E-003	2.6006038E+000
2.942761958983153E+004	-1.4218441E-003	2.6005845E+000
2.944261958964993E+004	-1.4348299E-003	2.6006038E+000
2.945761958946832E+004	-1.4152239E-003	2.6005654E+000
2.947261958928671E+004	-1.4233082E-003	2.6006229E+000
2.948761958910510E+004	-1.4118501E-003	2.6005464E+000
2.950261958892350E+004	-1.4063120E-003	2.6005845E+000
2.951761958874189E+004	-1.4170699E-003	2.6006610E+000
2.953261958856028E+004	-1.4190432E-003	2.6007946E+000
2.954761958837867E+004	-1.4217803E-003	2.6007755E+000
2.956261958819706E+004	-1.4108954E-003	2.6007946E+000
2.957761958801546E+004	-1.4126777E-003	2.6007373E+000
2.959261958783385E+004	-1.4265545E-003	2.6006610E+000
2.960761958765224E+004	-1.4220350E-003	2.6006229E+000
2.962261958747063E+004	-1.4324746E-003	2.6007755E+000
2.963761958728902E+004	-1.4126140E-003	2.6006420E+000
2.965261958710742E+004	-1.4050389E-003	2.6006420E+000
2.966761958692581E+004	-1.4212076E-003	2.6008136E+000
2.968261958674420E+004	-1.4238175E-003	2.6006038E+000
2.969761958656259E+004	-1.4201254E-003	2.6006992E+000
2.971261958638098E+004	-1.4066941E-003	2.6006610E+000
2.972761958619938E+004	-1.4179611E-003	2.6006801E+000
2.974261958601777E+004	-1.4296739E-003	2.6006801E+000
2.975761958583616E+004	-1.4059938E-003	2.6006992E+000
2.977261958565455E+004	-1.4257270E-003	2.6008327E+000
2.978761958547294E+004	-1.4278278E-003	2.6006038E+000
2.980261958529134E+004	-1.4299284E-003	2.6006420E+000
2.981761958510973E+004	-1.4235629E-003	2.6006420E+000
2.983261958492812E+004	-1.3925624E-003	2.6006610E+000
2.984761958474648E+004	-1.4061211E-003	2.6006038E+000
2.986261958456488E+004	-1.4068850E-003	2.6006229E+000
2.987761958438327E+004	-1.4059938E-003	2.6006610E+000
2.989261958420166E+004	-1.4329839E-003	2.6005845E+000
2.990761958402005E+004	-1.4306923E-003	2.6006610E+000
2.992261958383844E+004	-1.4009650E-003	2.6006038E+000
2.993761958365684E+004	-1.4266820E-003	2.6006801E+000
2.995261958347523E+004	-1.4294827E-003	2.6007183E+000
2.996761958329362E+004	-1.3994372E-003	2.6006992E+000
2.998261958311201E+004	-1.4168790E-003	2.6006610E+000
2.999761958293041E+004	-1.4065031E-003	2.6006420E+000
3.001261958274880E+004	-1.4208256E-003	2.6006229E+000
3.002761958256719E+004	-1.4201254E-003	2.6005654E+000
3.004261958238558E+004	-1.4105133E-003	2.6006801E+000
3.005761958220397E+004	-1.4007105E-003	2.6006420E+000
3.007261958202237E+004	-1.4143965E-003	2.6006801E+000
3.008761958184076E+004	-1.4263000E-003	2.6007183E+000
3.010261958165915E+004	-1.4088583E-003	2.6005082E+000
3.011761958147754E+004	-1.4039569E-003	2.6006992E+000
3.013261958129593E+004	-1.3931990E-003	2.6007183E+000
3.014761958111433E+004	-1.4280187E-003	2.6007755E+000
3.016261958093272E+004	-1.4130595E-003	2.6007946E+000
3.017761958075111E+004	-1.4083491E-003	2.6006992E+000
3.019261958056950E+004	-1.4120411E-003	2.6007373E+000
3.020761958038789E+004	-1.4253452E-003	2.6006801E+000
3.022261958020629E+004	-1.4144600E-003	2.6007373E+000
3.023761958002468E+004	-1.4063758E-003	2.6006801E+000
3.025261957984307E+004	-1.3998193E-003	2.6006992E+000
3.026761957966146E+004	-1.4061847E-003	2.6006801E+000
3.028261957947986E+004	-1.4201890E-003	2.6006038E+000
3.029761957929825E+004	-1.4274458E-003	2.6005464E+000
3.031261957911664E+004	-1.4177065E-003	2.6005654E+000
3.032761957893503E+004	-1.4075215E-003	2.6007564E+000
3.034261957875342E+004	-1.4213985E-003	2.6008711E+000
3.035761957857182E+004	-1.4166243E-003	2.6006229E+000
3.037261957839021E+004	-1.4142054E-003	2.6006992E+000
3.038761957820860E+004	-1.3952997E-003	2.6006229E+000
3.040261957802699E+004	-1.4027475E-003	2.6005845E+000
3.041761957784538E+004	-1.4340023E-003	2.6007373E+000
3.043261957766378E+004	-1.4077126E-003	2.6006038E+000
3.044761957748217E+004	-1.3978459E-003	2.6007564E+000
3.046261957730056E+004	-1.4001376E-003	2.6006420E+000
3.047761957711895E+004	-1.4031931E-003	2.6006610E+000
3.049261957693734E+004	-1.3909073E-003	2.6006038E+000
3.050761957675574E+004	-1.3920532E-003	2.6006420E+000
3.052261957657413E+004	-1.4065667E-003	2.6007183E+000
3.053761957639252E+004	-1.4202527E-003	2.6008327E+000
3.055261957621091E+004	-1.4054209E-003	2.6006992E+000
3.056761957602930E+004	-1.3950450E-003	2.6006992E+000
3.058261957584770E+004	-1.4078398E-003	2.6006420E+000
3.059761957566609E+004	-1.4168790E-003	2.6007373E+000
3.061261957548448E+004	-1.4182794E-003	2.6006420E+000
3.062761957530287E+004	-1.4219714E-003	2.6006038E+000
3.064261957512127E+004	-1.4012196E-003	2.6007183E+000
3.065761957493966E+004	-1.3984825E-003	2.6006610E+000
3.067261957475805E+004	-1.4043387E-003	2.6006610E+000
3.068761957457644E+004	-1.3897617E-003	2.6006801E+000
3.070261957439483E+004	-1.3916076E-003	2.6006801E+000
3.071761957421323E+004	-1.4104497E-003	2.6008711E+000
3.073261957403162E+004	-1.3879157E-003	2.6006229E+000
3.074761957385001E+004	-1.3961272E-003	2.6006420E+000
3.076261957366840E+004	-1.3910347E-003	2.6005082E+000
3.077761957348679E+004	-1.3912257E-003	2.6006229E+000
3.079261957330519E+004	-1.3905892E-003	2.6007183E+000
3.080761957312358E+004	-1.4334293E-003	2.6006992E+000
3.082261957294197E+004	-1.4003285E-003	2.6006229E+000
3.083761957276036E+004	-1.3849237E-003	2.6008327E+000
3.085261957257875E+004	-1.4086036E-003	2.6006420E+000
3.086761957239715E+004	-1.4129959E-003	2.6006610E+000
3.088261957221554E+004	-1.3935172E-003	2.6006420E+000
3.089761957203393E+004	-1.4002649E-003	2.6006992E+000
3.091261957185232E+004	-1.3847328E-003	2.6005273E+000
3.092761957167072E+004	-1.4001376E-003	2.6006610E+000
3.094261957148911E+004	-1.3948540E-003	2.6008136E+000
3.095761957130750E+004	-1.3928808E-003	2.6007755E+000
3.097261957112589E+004	-1.3857513E-003	2.6006801E+000
3.098761957094428E+004	-1.4058666E-003	2.6005845E+000
3.100261957076268E+004	-1.3932626E-003	2.6006038E+000
3.101761957058107E+004	-1.3944085E-003	2.6006610E+000
3.103261957039946E+004	-1.4057391E-003	2.6007564E+000
3.104761957021785E+004	-1.4017288E-003	2.6007183E+000
3.106261957003624E+004	-1.4044660E-003	2.6006420E+000
3.107761956985464E+004	-1.3919895E-003	2.6006801E+000
3.109261956967303E+004	-1.3847328E-003	2.6006992E+000
3.110761956949142E+004	-1.3952359E-003	2.6005845E+000
3.112261956930981E+004	-1.3830778E-003	2.6006992E+000
3.113761956912820E+004	-1.4033840E-003	2.6005845E+000
3.115261956894660E+004	-1.4058666E-003	2.6007373E+000
3.116761956876499E+004	-1.3878519E-003	2.6006229E+000
3.118261956858338E+004	-1.3983552E-003	2.6006420E+000
3.119761956840177E+004	-1.4068214E-003	2.6007373E+000
3.121261956822017E+004	-1.3891250E-003	2.6005845E+000
3.122761956803856E+004	-1.3892524E-003	2.6005845E+000
3.124261956785695E+004	-1.3720654E-003	2.6007183E+000
3.125761956767534E+004	-1.3929445E-003	2.6006229E+000
3.127261956749373E+004	-1.3686916E-003	2.6006610E+000
3.128761956731213E+004	-1.4118501E-003	2.6006610E+000
3.130261956713052E+004	-1.3738476E-003	2.6006801E+000
3.131761956694891E+004	-1.3799586E-003	2.6005654E+000
3.133261956676730E+004	-1.3931990E-003	2.6005845E+000
3.134761956658569E+004	-1.3882975E-003	2.6007373E+000
3.136261956640409E+004	-1.3744843E-003	2.6006801E+000
3.137761956622248E+004	-1.3830140E-003	2.6005654E+000
3.139261956604087E+004	-1.3828868E-003	2.6007183E+000
3.140761956585926E+004	-1.3835869E-003	2.6006610E+000
3.142261956567765E+004	-1.3945996E-003	2.6005273E+000
3.143761956549605E+004	-1.3965092E-003	2.6005273E+000
3.145261956531444E+004	-1.4068850E-003	2.6006610E+000
3.146761956513283E+004	-1.4030656E-003	2.6006420E+000
3.148261956495122E+004	-1.4080944E-003	2.6007373E+000
3.149761956476962E+004	-1.3971456E-003	2.6006229E+000
