time/s	I/mA	Ewe/V
6.635059832384286E+001	-3.0049616E-003	3.1242769E+000
6.654959831881570E+001	-3.0052799E-003	3.1216993E+000
6.678339831290941E+001	-3.0051528E-003	3.1233985E+000
6.698919830771047E+001	-3.0049616E-003	3.1210122E+000
6.721659830196586E+001	-3.0051528E-003	3.1227877E+000
6.746079829579685E+001	-3.0045798E-003	3.1231122E+000
6.769299828993098E+001	-3.0043253E-003	3.1251168E+000
6.795279828336788E+001	-3.0050890E-003	3.1226349E+000
6.820759827693109E+001	-3.0047705E-003	3.1217184E+000
6.840839827185846E+001	-3.0058529E-003	3.1238568E+000
6.868139826496190E+001	-3.0050252E-003	3.1240478E+000
6.896739825773693E+001	-3.0047072E-003	3.1235514E+000
6.928579824969347E+001	-3.0048343E-003	3.1237614E+000
6.979159823691589E+001	-3.0047705E-003	3.1225014E+000
7.016839822739712E+001	-3.0052161E-003	3.1224630E+000
7.038819822184450E+001	-3.0047072E-003	3.1199811E+000
7.066339821489237E+001	-3.0046434E-003	3.1257277E+000
7.088599820926902E+001	-3.0041977E-003	3.1252697E+000
7.114599820270087E+001	-3.0041342E-003	3.1251168E+000
7.139299819646112E+001	-3.0055346E-003	3.1229212E+000
7.172799818799831E+001	-3.0050252E-003	3.1209738E+000
7.193239818283473E+001	-3.0047072E-003	3.1207256E+000
7.218739817639289E+001	-3.0047072E-003	3.1227112E+000
7.240979817077459E+001	-3.0050890E-003	3.1241813E+000
7.261319816563628E+001	-3.0043887E-003	3.1219666E+000
7.285139815961884E+001	-3.0042615E-003	3.1199429E+000
7.306639815418748E+001	-3.0050890E-003	3.1196756E+000
7.324379814970598E+001	-3.0048343E-003	3.1226158E+000
7.347019814398664E+001	-3.0046434E-003	3.1206493E+000
7.368519813855528E+001	-3.0045798E-003	3.1194084E+000
7.391179813283088E+001	-3.0053435E-003	3.1215277E+000
7.408959812833928E+001	-3.0045160E-003	3.1172318E+000
7.432899812229152E+001	-3.0052161E-003	3.1194656E+000
7.453459811709763E+001	-3.0049616E-003	3.1212411E+000
7.486699810870050E+001	-3.0050890E-003	3.1192365E+000
7.514499810167763E+001	-3.0043887E-003	3.1189501E+000
7.529879809779231E+001	-3.0050252E-003	3.1168692E+000
7.551139809242159E+001	-3.0047705E-003	3.1169646E+000
7.573099808687402E+001	-3.0043253E-003	3.1169646E+000
7.599479808020988E+001	-3.0050252E-003	3.1191602E+000
7.620979807477852E+001	-3.0052799E-003	3.1165066E+000
7.645719806852867E+001	-3.0043887E-003	3.1147308E+000
7.673479806151590E+001	-3.0049616E-003	3.1162391E+000
